posts,companys,location,experience,description,links
Experienced Python / Django / Flask Developer,Mallow Technologies,Karur Coimbatore,2-5 Yrs, We are looking for a passionate highly talented Senior Python Developer with a minimum...,https://www.naukri.com/job-listings-experienced-python-django-flask-developer-mallow-technologies-private-limited-karur-coimbatore-2-to-5-years-290722010253
Software Eng./ Sr. Software Eng. / Principal Eng - Data Engineering,GroundTruth,Hyderabad/Secunderabad Bangalore/Bengaluru Delhi / NCR,2-7 Yrs, Experience with AWS cloud services: EC2 RDS Redshift S3 Athena Glue Offer will be ...,https://www.naukri.com/job-listings-software-eng-sr-software-eng-principal-eng-data-engineering-groundtruth-india-private-limited-hyderabad-secunderabad-bangalore-bengaluru-delhi-ncr-2-to-7-years-010822002166
Python Programming Language Application Developer,Accenture,Bangalore/Bengaluru,4-6 Yrs, Educational Qualification : 1 Regular 15-year full time education Professional Attribut...,https://www.naukri.com/job-listings-python-programming-language-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-020822903017
Python Programming Language Application Developer,Accenture,Bangalore/Bengaluru,2-4 Yrs, Technical Experience : The following technical experience and skillset needed: a: 3 yea...,https://www.naukri.com/job-listings-python-programming-language-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-4-years-040822905314
Python Programming Language Application Developer,Accenture,Bangalore/Bengaluru,2-4 Yrs, Technical Experience : 2 to 3 years experience in Python Programming -1 to 2 years expe...,https://www.naukri.com/job-listings-python-programming-language-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-4-years-040822905294
Python Programming Language Application Developer,Accenture,Bangalore/Bengaluru,6-8 Yrs, Professional Attributes : A: Good Communication SkillsB: Ability to work in complex and...,https://www.naukri.com/job-listings-python-programming-language-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-6-to-8-years-020822903134
Python Programming Language Application Developer,Accenture,Bangalore/Bengaluru,4-6 Yrs, Professional Attributes : A: Good Communication SkillsB: Ability to work in complex and...,https://www.naukri.com/job-listings-python-programming-language-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-020822903081
Python Programming Language Application Developer,Accenture,Bangalore/Bengaluru,8-10 Yrs, Professional Attributes : A: Good Communication SkillsB: Ability to work in complex and...,https://www.naukri.com/job-listings-python-programming-language-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-8-to-10-years-020822902801
Python Programming Language Application Developer,Accenture,Bangalore/Bengaluru,4-6 Yrs, Technical Experience : a: Experience in Python version 3 b: Good to have basic experien...,https://www.naukri.com/job-listings-python-programming-language-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-4-to-6-years-020822902562
Senior Python Developer/ Module Lead,Mindtree,Kolkata Hyderabad/Secunderabad Pune Chennai Bangalore/Bengaluru Delhi / NCR,4-9 Yrs, Notice Period: Preferred short joiner Years Of Experience: 4 to 9 Years,https://www.naukri.com/job-listings-senior-python-developer-module-lead-mindtree-limited-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-4-to-9-years-020822007191
Software Developer - NLP/ Data Mining/ Python,Cunesoft,Bangalore/Bengaluru,3-5 Yrs, The individual should be self-motivated creative and proactive to work successfully i...,https://www.naukri.com/job-listings-software-developer-nlp-data-mining-python-cunesoft-bangalore-bengaluru-3-to-5-years-290722905220
Big Data Developer (Python & Databricks),EPAM Systems,Hyderabad/Secunderabad Pune Gurgaon/Gurugram Chennai Bangalore/Bengaluru,5-10 Yrs, Note: Hands-on experience in Azure-Databricks (Mandatory) & looking for immediate to 30...,https://www.naukri.com/job-listings-big-data-developer-python-databricks-epam-systems-india-private-limited-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-5-to-10-years-260722008846
Full Stack Senior Software Developer - Python,FREELANCER SREEKALA ANILKUMAR PANICKER ,Remote,3-8 Yrs, Good knowledge of Python and familiarity with ML / AI libraries like TensorFlow,https://www.naukri.com/job-listings-full-stack-senior-software-developer-python-freelancer-sreekala-anilkumar-panicker-bangalore-bengaluru-3-to-8-years-020822004562
Hiring Python Developers,SounderGrad,Chennai Bangalore/Bengaluru Mumbai (All Areas),0-5 Yrs, BE / BTech or MCA graduatesProficient in Python5 years work experience,https://www.naukri.com/job-listings-hiring-python-developers-soundergrad-private-limited-chennai-bangalore-bengaluru-mumbai-all-areas-0-to-5-years-040822006414
Senior Software Engineer - Big Data Python Java,Optum,Bangalore/Bengaluru,4-9 Yrs, Primary Responsibilities: Deliver professional level technical work in support of the d...,https://www.naukri.com/job-listings-senior-software-engineer-big-data-python-java-optum-global-solutions-india-private-limited-bangalore-bengaluru-4-to-9-years-280722911891
Python Programming Language Application Developer,Accenture,Bangalore/Bengaluru,6-8 Yrs, Key Responsibilities : XSIGHT CIP- DM-349- Linux basics Knowledge of Big Data ingestion...,https://www.naukri.com/job-listings-python-programming-language-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-6-to-8-years-010822906561
Sr Python Developer /Lead Developer,Rackspace Technology,Hyderabad/Secunderabad Gurgaon/Gurugram Bangalore/Bengaluru,7-12 Yrs, Ideal candidates will have minimum 5+ years professional experience with: At least one ...,https://www.naukri.com/job-listings-sr-python-developer-lead-developer-rackspace-technology-hyderabad-secunderabad-gurgaon-gurugram-bangalore-bengaluru-7-to-12-years-030822002818
